rod_id,rod_type,rod_power,rod_action,rod_len_min,rod_len_max
1,Cast,6,2,86,96
2,Cast,6,2,84,90
3,Cast,6,4,84,90
4,Cast,4,4,86,96
5,Cast,4,4,84,86
6,Cast,4,4,84,88
10,Cast,5,2,84,92
11,Cast,5,2,86,92
13,Cast,5,4,84,90
